DDI-MedLine.d62.s3|179-186|spectrin|drug
DDI-DrugBank.d223.s16|53-91|selective serotonin reuptake inhibitors|group
DDI-DrugBank.d223.s16|94-98|SSRIs|group
DDI-DrugBank.d223.s16|143-149|doxepin|drug
DDI-DrugBank.d223.s18|51-57|doxepin|drug
DDI-DrugBank.d223.s19|4-13|Inhibitors|group
DDI-DrugBank.d223.s19|46-50|death|drug
DDI-DrugBank.d223.s19|112-116|drugs|group
DDI-DrugBank.d223.s19|127-136|inhibitors|group
DDI-DrugBank.d223.s20|15-24|inhibitors|group
DDI-DrugBank.d223.s20|117-124|SINEQUAN|brand
DDI-DrugBank.d223.s21|75-83|inhibitor|group
DDI-DrugBank.d223.s22|0-9|Cimetidine|drug
DDI-DrugBank.d223.s22|12-21|Cimetidine|drug
DDI-DrugBank.d223.s22|75-86|fluctuations|group
DDI-DrugBank.d223.s22|104-108|serum|group
DDI-DrugBank.d223.s22|146-160|antidepressants|group
DDI-DrugBank.d223.s23|122-131|elevations|group
DDI-DrugBank.d223.s23|140-144|serum|group
DDI-DrugBank.d223.s23|166-179|antidepressant|group
DDI-DrugBank.d223.s23|186-195|cimetidine|drug
DDI-DrugBank.d223.s24|45-58|antidepressant|group
DDI-DrugBank.d223.s24|133-142|cimetidine|drug
DDI-DrugBank.d223.s25|70-84|antidepressants|group
DDI-DrugBank.d223.s25|107-116|cimetidine|drug
DDI-DrugBank.d223.s25|146-155|cimetidine|drug
DDI-DrugBank.d223.s25|212-216|serum|group
DDI-DrugBank.d223.s25|228-241|antidepressant|group
DDI-DrugBank.d223.s25|271-281|therapeutic|brand
DDI-DrugBank.d223.s26|0-6|Alcohol|brand
DDI-DrugBank.d223.s26|41-47|alcohol|brand
DDI-DrugBank.d223.s26|128-135|SINEQUAN|brand
DDI-DrugBank.d223.s27|53-59|alcohol|brand
DDI-DrugBank.d223.s28|0-9|Tolazamide|drug
DDI-DrugBank.d223.s28|104-113|tolazamide|drug
DDI-DrugBank.d223.s28|156-162|doxepin|drug
DDI-DrugBank.d44.s0|60-66|RAPTIVA|brand
DDI-DrugBank.d44.s1|0-6|RAPTIVA|brand
DDI-DrugBank.d44.s1|56-60|drugs|group
DDI-DrugBank.d44.s2|36-43|vaccines|group
DDI-DrugBank.d44.s2|79-85|RAPTIVA|brand
DDI-DrugBank.d44.s3|21-32|Interactions|group
DDI-DrugBank.d44.s3|145-151|RAPTIVA|brand
DDI-DrugBank.d531.s0|0-8|Efavirenz|drug
DDI-DrugBank.d531.s1|25-34|substrates|group
DDI-DrugBank.d531.s1|72-85|concentrations|group
DDI-DrugBank.d531.s1|112-118|SUSTIVA|brand
DDI-DrugBank.d531.s1|121-129|efavirenz|drug
DDI-DrugBank.d531.s2|40-48|efavirenz|drug
DDI-DrugBank.d531.s2|112-120|efavirenz|drug
DDI-DrugBank.d531.s2|129-142|concentrations|group
DDI-DrugBank.d531.s3|20-28|efavirenz|drug
DDI-DrugBank.d531.s3|35-39|drugs|group
DDI-DrugBank.d531.s3|110-123|concentrations|group
DDI-DrugBank.d531.s4|67-71|drugs|group
DDI-DrugBank.d531.s5|0-4|Drugs|group
DDI-DrugBank.d531.s5|40-52|phenobarbital|drug
DDI-DrugBank.d531.s5|55-62|rifampin|brand
DDI-DrugBank.d531.s5|65-73|rifabutin|drug
DDI-DrugBank.d531.s5|123-131|efavirenz|drug
DDI-DrugBank.d531.s5|161-174|concentrations|group
DDI-DrugBank.d531.s6|5-16|interactions|group
DDI-DrugBank.d531.s6|23-29|SUSTIVA|brand
DDI-DrugBank.d531.s7|10-14|Drugs|group
DDI-DrugBank.d531.s9|0-4|Drugs|group
DDI-DrugBank.d531.s10|0-13|Antihistamines|group
DDI-DrugBank.d531.s10|16-30|Benzodiazepines|group
DDI-DrugBank.d531.s10|44-49|Agents|group
DDI-DrugBank.d531.s11|0-9|astemizole|drug
DDI-DrugBank.d531.s11|22-30|triazolam|drug
DDI-DrugBank.d531.s11|48-58|derivatives|group
DDI-DrugBank.d531.s19|25-31|SUSTIVA|brand
DDI-DrugBank.d531.s19|86-95|atazanavir|drug
DDI-DrugBank.d531.s19|112-120|ritonavir|drug
DDI-DrugBank.d531.s19|133-139|SUSTIVA|brand
DDI-DrugBank.d531.s20|7-21|recommendations|group
DDI-DrugBank.d531.s20|27-33|SUSTIVA|brand
DDI-DrugBank.d531.s20|39-48|atazanavir|drug
DDI-DrugBank.d531.s21|17-28|Interactions|group
DDI-DrugBank.d531.s26|0-13|clarithromycin|drug
DDI-DrugBank.d531.s27|7-20|concentrations|group
DDI-DrugBank.d531.s27|35-41|SUSTIVA|brand
DDI-DrugBank.d531.s29|61-67|SUSTIVA|brand
DDI-DrugBank.d531.s29|73-86|clarithromycin|drug
DDI-DrugBank.d531.s30|22-28|SUSTIVA|brand
DDI-DrugBank.d531.s30|61-74|clarithromycin|drug
DDI-DrugBank.d531.s31|0-11|Alternatives|group
DDI-DrugBank.d531.s31|16-29|clarithromycin|drug
DDI-DrugBank.d531.s31|40-51|azithromycin|drug
DDI-DrugBank.d531.s32|16-26|antibiotics|group
DDI-DrugBank.d531.s32|37-48|erythromycin|drug
DDI-DrugBank.d531.s32|93-99|SUSTIVA|brand
DDI-DrugBank.d531.s36|0-8|indinavir|drug
DDI-DrugBank.d531.s37|20-28|indinavir|drug
DDI-DrugBank.d531.s37|62-68|SUSTIVA|brand
DDI-DrugBank.d531.s38|15-23|indinavir|drug
DDI-DrugBank.d531.s38|93-101|indinavir|drug
DDI-DrugBank.d531.s38|121-127|SUSTIVA|brand
DDI-DrugBank.d531.s39|5-13|indinavir|drug
DDI-DrugBank.d531.s39|75-81|SUSTIVA|brand
DDI-DrugBank.d531.s39|108-116|indinavir|drug
DDI-DrugBank.d531.s39|210-218|indinavir|drug
DDI-DrugBank.d531.s41|0-8|lopinavir|drug
DDI-DrugBank.d531.s42|99-102|food|group
DDI-DrugBank.d531.s42|149-155|SUSTIVA|brand
DDI-DrugBank.d531.s44|0-8|methadone|drug
DDI-DrugBank.d531.s45|121-129|methadone|drug
DDI-DrugBank.d531.s46|0-8|Methadone|drug
DDI-DrugBank.d531.s46|49-57|alleviate|brand
DDI-DrugBank.d531.s47|63-71|methadone|drug
DDI-DrugBank.d531.s47|103-111|alleviate|brand
DDI-DrugBank.d531.s49|0-16|ethinyl estradiol|group
DDI-DrugBank.d531.s50|7-20|concentrations|group
DDI-DrugBank.d531.s50|35-41|SUSTIVA|brand
DDI-DrugBank.d531.s50|44-52|efavirenz|drug
DDI-DrugBank.d531.s52|37-45|efavirenz|drug
DDI-DrugBank.d531.s52|57-70|contraceptives|group
DDI-DrugBank.d531.s52|184-197|contraceptives|group
DDI-DrugBank.d531.s54|0-8|rifabutin|drug
DDI-DrugBank.d531.s55|23-31|rifabutin|drug
DDI-DrugBank.d531.s56|22-30|rifabutin|drug
DDI-DrugBank.d531.s56|55-63|rifabutin|drug
DDI-DrugBank.d531.s58|0-8|efavirenz|drug
DDI-DrugBank.d531.s59|33-41|efavirenz|drug
DDI-DrugBank.d531.s61|0-8|ritonavir|drug
DDI-DrugBank.d531.s62|165-171|enzymes|group
DDI-DrugBank.d531.s63|20-26|enzymes|group
DDI-DrugBank.d531.s63|48-54|SUSTIVA|brand
DDI-DrugBank.d531.s63|84-92|ritonavir|drug
DDI-DrugBank.d531.s64|0-8|efavirenz|drug
DDI-DrugBank.d531.s66|0-9|saquinavir|drug
DDI-DrugBank.d531.s67|22-25|sole|brand
DDI-DrugBank.d531.s67|36-44|inhibitor|group
DDI-DrugBank.d531.s67|66-72|SUSTIVA|brand
DDI-DrugBank.d531.s69|0-9|sertraline|drug
DDI-DrugBank.d531.s70|13-22|sertraline|drug
DDI-DrugBank.d531.s71|49-54|Herbal|brand
DDI-DrugBank.d531.s71|64-75|Interactions|group
DDI-DrugBank.d531.s72|0-13|Anticoagulants|group
DDI-DrugBank.d531.s73|7-20|concentrations|group
DDI-DrugBank.d531.s73|72-78|SUSTIVA|brand
DDI-DrugBank.d531.s74|0-14|Anticonvulsants|group
DDI-DrugBank.d531.s74|17-25|Phenytoin|drug
DDI-DrugBank.d531.s75|49-57|efavirenz|drug
DDI-DrugBank.d531.s77|0-10|Antifungals|group
DDI-DrugBank.d531.s77|13-24|Itraconazole|drug
DDI-DrugBank.d531.s78|30-36|SUSTIVA|brand
DDI-DrugBank.d531.s78|48-56|imidazole|drug
DDI-DrugBank.d531.s78|71-81|antifungals|group
DDI-DrugBank.d531.s79|0-6|SUSTIVA|brand
DDI-DrugBank.d531.s79|45-58|concentrations|group
DDI-DrugBank.d531.s79|63-74|itraconazole|drug
DDI-DrugBank.d531.s79|80-91|ketoconazole|drug
DDI-DrugBank.d531.s80|9-27|protease inhibitors|group
DDI-DrugBank.d531.s83|37-41|serum|group
DDI-DrugBank.d531.s83|61-70|amprenavir|drug
DDI-DrugBank.d531.s84|15-35|reverse transcriptase|drug
DDI-DrugBank.d531.s86|17-25|Hypericum|brand
DDI-DrugBank.d531.s87|52-60|efavirenz|drug
DDI-DrugBank.d531.s87|103-109|SUSTIVA|brand
DDI-DrugBank.d531.s90|6-10|Drugs|group
DDI-DrugBank.d531.s90|104-110|SUSTIVA|brand
DDI-DrugBank.d531.s90|113-121|efavirenz|drug
DDI-DrugBank.d531.s90|182-189|antacids|group
DDI-DrugBank.d531.s90|192-203|azithromycin|drug
DDI-DrugBank.d531.s90|206-215|cetirizine|drug
DDI-DrugBank.d531.s90|218-227|famotidine|drug
DDI-DrugBank.d531.s90|230-240|fluconazole|drug
DDI-DrugBank.d531.s90|243-252|lamivudine|drug
DDI-DrugBank.d531.s90|255-263|lorazepam|drug
DDI-DrugBank.d531.s90|266-275|nelfinavir|drug
DDI-DrugBank.d531.s90|278-287|paroxetine|drug
DDI-DrugBank.d531.s90|294-303|zidovudine|drug
DDI-DrugBank.d531.s91|63-69|SUSTIVA|brand
DDI-DrugBank.d531.s91|92-116|lamivudine and zidovudine|brand
DDI-DrugBank.d531.s92|23-34|interactions|group
DDI-DrugBank.d531.s92|117-125|efavirenz|drug
DDI-DrugBank.d531.s92|168-171|same|drug
DDI-DrugBank.d531.s92|183-189|enzymes|group
DDI-DrugBank.d107.s0|25-32|Diuretic|group
DDI-DrugBank.d107.s0|55-63|diuretics|group
DDI-DrugBank.d107.s0|94-101|diuretic|group
DDI-DrugBank.d107.s0|190-203|blood pressure|group
DDI-DrugBank.d107.s0|238-246|enalapril|drug
DDI-DrugBank.d107.s0|251-261|enalaprilat|drug
DDI-DrugBank.d107.s1|44-52|enalapril|drug
DDI-DrugBank.d107.s1|57-67|enalaprilat|drug
DDI-DrugBank.d107.s1|114-121|diuretic|group
DDI-DrugBank.d107.s1|191-199|enalapril|drug
DDI-DrugBank.d107.s1|204-214|enalaprilat|drug
DDI-DrugBank.d107.s2|35-42|diuretic|group
DDI-DrugBank.d107.s2|135-148|blood pressure|group
DDI-DrugBank.d107.s3|0-5|Agents|group
DDI-DrugBank.d107.s3|15-19|Renin|drug
DDI-DrugBank.d107.s3|61-69|enalapril|drug
DDI-DrugBank.d107.s3|75-83|enalapril|drug
DDI-DrugBank.d107.s3|104-126|antihypertensive agents|group
DDI-DrugBank.d107.s3|139-143|renin|drug
DDI-DrugBank.d107.s3|160-168|diuretics|group
DDI-DrugBank.d107.s4|14-37|Anti-inflammatory Agents|group
DDI-DrugBank.d107.s4|147-151|drugs|group
DDI-DrugBank.d107.s4|179-187|enalapril|drug
DDI-DrugBank.d107.s6|34-45|indomethacin|drug
DDI-DrugBank.d107.s6|50-57|sulindac|drug
DDI-DrugBank.d107.s6|111-117|VASOTEC|brand
DDI-DrugBank.d107.s7|84-90|VASOTEC|brand
DDI-DrugBank.d107.s8|30-35|NSAIDs|group
DDI-DrugBank.d107.s8|85-94|inhibitors|group
DDI-DrugBank.d107.s9|66-71|NSAIDs|group
DDI-DrugBank.d107.s9|96-105|inhibitors|group
DDI-DrugBank.d107.s10|6-26|Cardiovascular Agents|group
DDI-DrugBank.d107.s10|29-37|Enalapril|drug
DDI-DrugBank.d107.s10|43-51|enalapril|drug
DDI-DrugBank.d107.s10|115-120|agents|group
DDI-DrugBank.d107.s10|123-132|methyldopa|drug
DDI-DrugBank.d107.s10|135-142|nitrates|group
DDI-DrugBank.d107.s10|162-167|agents|group
DDI-DrugBank.d107.s10|170-180|hydralazine|drug
DDI-DrugBank.d107.s10|183-190|prazosin|drug
DDI-DrugBank.d107.s10|196-202|digoxin|drug
DDI-DrugBank.d107.s10|255-266|interactions|group
DDI-DrugBank.d107.s11|0-8|Enalapril|drug
DDI-DrugBank.d107.s11|46-54|digitalis|group
DDI-DrugBank.d107.s11|107-115|reactions|group
DDI-DrugBank.d107.s12|0-5|Agents|group
DDI-DrugBank.d107.s12|18-22|Serum|group
DDI-DrugBank.d107.s12|35-43|Enalapril|drug
DDI-DrugBank.d107.s12|49-57|enalapril|drug
DDI-DrugBank.d107.s12|72-80|potassium|drug
DDI-DrugBank.d107.s12|111-119|diuretics|group
DDI-DrugBank.d107.s13|0-26|Potassium-sparing diuretics|group
DDI-DrugBank.d107.s13|35-48|spironolactone|drug
DDI-DrugBank.d107.s13|51-61|triamterene|drug
DDI-DrugBank.d107.s13|67-75|amiloride|drug
DDI-DrugBank.d107.s13|79-87|potassium|drug
DDI-DrugBank.d107.s13|180-184|serum|group
DDI-DrugBank.d107.s14|39-44|agents|group
DDI-DrugBank.d107.s14|161-165|serum|group
DDI-DrugBank.d107.s15|0-8|Potassium|drug
DDI-DrugBank.d107.s15|18-23|agents|group
DDI-DrugBank.d107.s15|95-103|enalapril|drug
DDI-DrugBank.d107.s16|0-6|Lithium|brand
DDI-DrugBank.d107.s16|9-15|Lithium|brand
DDI-DrugBank.d107.s16|66-72|lithium|brand
DDI-DrugBank.d107.s16|93-97|drugs|group
DDI-DrugBank.d107.s16|126-131|sodium|group
DDI-DrugBank.d107.s16|148-157|inhibitors|group
DDI-DrugBank.d107.s17|23-27|serum|group
DDI-DrugBank.d107.s17|71-79|enalapril|drug
DDI-DrugBank.d107.s17|116-122|lithium|brand
DDI-DrugBank.d395.s0|0-6|Bismuth|brand
DDI-DrugBank.d395.s0|9-29|Bismuth subsalicylate|drug
DDI-DrugBank.d395.s0|57-64|enoxacin|drug
DDI-DrugBank.d395.s0|90-97|enoxacin|drug
DDI-DrugBank.d395.s0|125-132|enoxacin|drug
DDI-DrugBank.d395.s1|36-43|enoxacin|drug
DDI-DrugBank.d395.s1|49-69|bismuth subsalicylate|drug
DDI-DrugBank.d395.s2|0-7|Caffeine|drug
DDI-DrugBank.d395.s2|10-17|Enoxacin|drug
DDI-DrugBank.d395.s2|31-39|inhibitor|group
DDI-DrugBank.d395.s3|26-33|enoxacin|drug
DDI-DrugBank.d395.s3|103-110|caffeine|drug
DDI-DrugBank.d395.s3|149-156|caffeine|drug
DDI-DrugBank.d395.s3|239-246|caffeine|drug
DDI-DrugBank.d395.s4|14-21|enoxacin|drug
DDI-DrugBank.d395.s4|56-63|caffeine|drug
DDI-DrugBank.d395.s4|69-76|enoxacin|drug
DDI-DrugBank.d395.s5|69-76|caffeine|drug
DDI-DrugBank.d395.s5|100-107|enoxacin|drug
DDI-DrugBank.d395.s6|0-11|Cyclosporine|drug
DDI-DrugBank.d395.s6|23-27|serum|group
DDI-DrugBank.d395.s6|39-50|cyclosporine|drug
DDI-DrugBank.d395.s6|95-106|cyclosporine|drug
DDI-DrugBank.d395.s6|144-148|class|group
DDI-DrugBank.d395.s7|0-6|Digoxin|drug
DDI-DrugBank.d395.s7|9-16|Enoxacin|drug
DDI-DrugBank.d395.s7|28-32|serum|group
DDI-DrugBank.d395.s8|36-42|digoxin|drug
DDI-DrugBank.d395.s8|64-71|enoxacin|drug
DDI-DrugBank.d395.s8|77-83|digoxin|drug
DDI-DrugBank.d395.s8|143-147|serum|group
DDI-DrugBank.d395.s8|175-181|digoxin|drug
DDI-DrugBank.d395.s9|14-37|anti-inflammatory agents|group
DDI-DrugBank.d395.s9|87-94|enoxacin|drug
DDI-DrugBank.d395.s9|155-162|fenbufen|drug
DDI-DrugBank.d395.s10|79-83|drugs|group
DDI-DrugBank.d395.s11|0-7|Fenbufen|drug
DDI-DrugBank.d395.s12|0-9|Sucralfate|drug
DDI-DrugBank.d395.s12|15-22|antacids|group
DDI-DrugBank.d395.s12|25-34|Quinolones|group
DDI-DrugBank.d395.s12|41-48|chelates|group
DDI-DrugBank.d395.s12|55-67|metal cations|group
DDI-DrugBank.d395.s13|29-38|quinolones|group
DDI-DrugBank.d395.s13|45-52|antacids|group
DDI-DrugBank.d395.s13|65-71|calcium|drug
DDI-DrugBank.d395.s13|74-82|magnesium|drug
DDI-DrugBank.d395.s14|5-14|sucralfate|drug
DDI-DrugBank.d395.s15|27-33|cations|group
DDI-DrugBank.d395.s15|43-46|iron|drug
DDI-DrugBank.d395.s16|8-20|multivitamins|brand
DDI-DrugBank.d395.s16|33-36|zinc|drug
DDI-DrugBank.d395.s16|142-155|concentrations|group
DDI-DrugBank.d395.s17|0-7|Antacids|group
DDI-DrugBank.d395.s17|20-37|aluminum hydroxide|drug
DDI-DrugBank.d395.s17|43-61|magnesium hydroxide|drug
DDI-DrugBank.d395.s17|93-100|enoxacin|drug
DDI-DrugBank.d395.s18|28-35|enoxacin|drug
DDI-DrugBank.d395.s18|80-89|ranitidine|drug
DDI-DrugBank.d395.s19|6-11|agents|group
DDI-DrugBank.d395.s19|73-80|enoxacin|drug
DDI-DrugBank.d395.s20|0-11|Theophylline|drug
DDI-DrugBank.d395.s20|14-21|Enoxacin|drug
DDI-DrugBank.d395.s20|35-43|inhibitor|group
DDI-DrugBank.d395.s21|0-7|Enoxacin|drug
DDI-DrugBank.d395.s21|43-54|theophylline|drug
DDI-DrugBank.d395.s21|107-118|theophylline|drug
DDI-DrugBank.d395.s21|172-176|serum|group
DDI-DrugBank.d395.s22|68-79|theophylline|drug
DDI-DrugBank.d395.s22|85-92|enoxacin|drug
DDI-DrugBank.d395.s23|0-7|Warfarin|drug
DDI-DrugBank.d395.s23|10-19|Quinolones|group
DDI-DrugBank.d395.s23|32-39|enoxacin|drug
DDI-DrugBank.d395.s23|114-121|warfarin|drug
DDI-DrugBank.d395.s24|0-7|Enoxacin|drug
DDI-DrugBank.d395.s24|120-127|enoxacin|drug
DDI-DrugBank.d395.s24|133-140|warfarin|drug
DDI-DrugBank.d395.s25|18-28|prothrombin|drug
DDI-DrugBank.d395.s25|95-102|warfarin|drug
DDI-DrugBank.d395.s25|111-121|derivatives|group
DDI-DrugBank.d395.s25|127-134|enoxacin|drug
DDI-DrugBank.d241.s0|11-20|reductions|group
DDI-DrugBank.d241.s0|25-38|blood pressure|group
DDI-DrugBank.d241.s0|55-60|FLOLAN|brand
DDI-DrugBank.d241.s0|83-91|diuretics|group
DDI-DrugBank.d241.s0|94-116|antihypertensive agents|group
DDI-DrugBank.d241.s0|128-139|vasodilators|group
DDI-DrugBank.d241.s1|11-29|antiplatelet agents|group
DDI-DrugBank.d241.s1|34-47|anticoagulants|group
DDI-DrugBank.d241.s1|100-105|FLOLAN|brand
DDI-DrugBank.d241.s2|41-46|FLOLAN|brand
DDI-DrugBank.d241.s2|86-99|anticoagulants|group
DDI-DrugBank.d241.s3|20-25|FLOLAN|brand
DDI-DrugBank.d241.s3|41-47|digoxin|drug
DDI-DrugBank.d241.s3|50-58|diuretics|group
DDI-DrugBank.d241.s3|61-74|anticoagulants|group
DDI-DrugBank.d241.s3|82-93|vasodilators|group
DDI-DrugBank.d241.s3|202-211|furosemide|drug
DDI-DrugBank.d241.s3|216-222|digoxin|drug
DDI-DrugBank.d241.s3|245-250|FLOLAN|brand
DDI-DrugBank.d241.s3|302-311|furosemide|drug
DDI-DrugBank.d241.s3|326-332|digoxin|drug
DDI-DrugBank.d241.s4|14-23|furosemide|drug
DDI-DrugBank.d241.s5|21-27|digoxin|drug
DDI-DrugBank.d241.s5|38-47|elevations|group
DDI-DrugBank.d241.s5|52-58|digoxin|drug
DDI-DrugBank.d241.s5|108-113|FLOLAN|brand
DDI-DrugBank.d241.s5|173-179|digoxin|drug
DDI-DrugBank.d525.s0|0-9|Eprosartan|drug
DDI-DrugBank.d525.s0|51-66|pharmacokinetics|group
DDI-DrugBank.d525.s0|71-77|digoxin|drug
DDI-DrugBank.d525.s0|107-114|warfarin|drug
DDI-DrugBank.d525.s0|120-128|glyburide|drug
DDI-DrugBank.d525.s1|75-80|agents|group
DDI-DrugBank.d525.s2|8-17|eprosartan|drug
DDI-DrugBank.d525.s2|45-59|cytochrome P450|drug
DDI-DrugBank.d525.s2|69-78|inhibitors|group
DDI-DrugBank.d525.s2|149-160|ketoconazole|drug
DDI-DrugBank.d525.s2|166-176|fluconazole|drug
DDI-DrugBank.d525.s2|186-195|inhibitors|group
DDI-DrugBank.d525.s2|266-275|eprosartan|drug
DDI-DrugBank.d525.s3|0-9|Ranitidine|drug
DDI-DrugBank.d525.s3|33-42|eprosartan|drug
DDI-DrugBank.d525.s4|0-9|Eprosartan|drug
DDI-DrugBank.d525.s4|106-113|diuretic|group
DDI-DrugBank.d525.s4|116-134|hydrochlorothiazide|drug
DDI-DrugBank.d525.s5|0-9|Eprosartan|drug
DDI-DrugBank.d525.s5|99-122|calcium channel blockers|group
DDI-DrugBank.d525.s5|143-152|nifedipine|drug
DDI-DrugBank.d525.s5|194-205|interactions|group
DDI-DrugBank.d278.s0|0-9|Enoxaparin|drug
DDI-DrugBank.d278.s0|93-108|pharmacokinetics|group
DDI-DrugBank.d278.s0|113-124|eptifibatide|drug
DDI-DrugBank.d152.s0|22-35|liver function|group
DDI-DrugBank.d152.s0|87-100|contraceptives|group
DDI-DrugBank.d152.s1|67-74|estrogen|group
DDI-DrugBank.d152.s1|87-105|sulfobromophthalein|drug
DDI-DrugBank.d152.s2|10-20|prothrombin|drug
DDI-DrugBank.d152.s5|10-16|thyroid|brand
DDI-DrugBank.d152.s5|80-86|thyroid|brand
DDI-DrugBank.d152.s6|8-12|resin|group
DDI-DrugBank.d152.s7|45-51|glucose|group
DDI-DrugBank.d152.s9|20-29|metyrapone|drug
DDI-DrugBank.d152.s10|8-12|serum|group
DDI-DrugBank.d152.s11|10-14|serum|group
DDI-DrugBank.d359.s0|0-7|PEGANONE|brand
DDI-DrugBank.d359.s0|40-44|drugs|group
DDI-DrugBank.d359.s1|44-51|PEGANONE|brand
DDI-DrugBank.d359.s1|87-95|Phenurone|drug
DDI-DrugBank.d359.s1|98-108|phenacemide|drug
DDI-DrugBank.d359.s2|59-67|phenytoin|drug
DDI-DrugBank.d359.s2|78-85|coumarin|drug
DDI-DrugBank.d359.s3|12-20|phenytoin|drug
DDI-DrugBank.d359.s3|46-53|coumarin|drug
DDI-DrugBank.d359.s3|107-111|serum|group
DDI-DrugBank.d359.s3|127-134|coumarin|drug
DDI-DrugBank.d359.s3|190-203|concentrations|group
DDI-DrugBank.d359.s4|16-23|coumarin|drug
DDI-DrugBank.d359.s4|75-79|serum|group
DDI-DrugBank.d359.s4|92-98|prolong|brand
DDI-DrugBank.d359.s4|104-108|serum|group
DDI-DrugBank.d359.s4|123-131|phenytoin|drug
DDI-DrugBank.d359.s5|74-81|ethotoin|drug
DDI-DrugBank.d359.s5|91-98|coumarin|drug
DDI-DrugBank.d359.s6|48-55|PEGANONE|brand
DDI-DrugBank.d359.s6|79-86|coumarin|drug
DDI-DrugBank.d219.s0|0-13|ACE-inhibitors|group
DDI-DrugBank.d219.s0|36-41|NSAIDs|group
DDI-DrugBank.d219.s0|87-100|ACE-inhibitors|group
DDI-DrugBank.d219.s1|66-71|NSAIDs|group
DDI-DrugBank.d219.s1|92-105|ACE-inhibitors|group
DDI-DrugBank.d219.s2|0-7|Antacids|group
DDI-DrugBank.d219.s2|44-51|antacids|group
DDI-DrugBank.d219.s2|107-112|Lodine|brand
DDI-DrugBank.d219.s3|9-16|antacids|group
DDI-DrugBank.d219.s4|0-6|Aspirin|brand
DDI-DrugBank.d219.s4|14-19|Lodine|brand
DDI-DrugBank.d219.s4|42-48|aspirin|brand
DDI-DrugBank.d219.s4|114-121|etodolac|drug
DDI-DrugBank.d219.s6|23-28|NSAIDs|group
DDI-DrugBank.d219.s6|61-66|Lodine|brand
DDI-DrugBank.d219.s6|72-78|aspirin|brand
DDI-DrugBank.d219.s7|0-11|Cyclosporine|drug
DDI-DrugBank.d219.s7|14-20|Digoxin|drug
DDI-DrugBank.d219.s7|23-34|Methotrexate|drug
DDI-DrugBank.d219.s7|55-60|NSAIDs|group
DDI-DrugBank.d219.s7|88-101|prostaglandins|group
DDI-DrugBank.d219.s7|150-154|drugs|group
DDI-DrugBank.d219.s7|176-180|serum|group
DDI-DrugBank.d219.s7|192-203|cyclosporine|drug
DDI-DrugBank.d219.s7|206-212|digoxin|drug
DDI-DrugBank.d219.s7|215-226|methotrexate|drug
DDI-DrugBank.d219.s8|31-42|cyclosporine|drug
DDI-DrugBank.d219.s9|25-29|drugs|group
DDI-DrugBank.d219.s9|45-50|Lodine|brand
DDI-DrugBank.d219.s9|209-213|drugs|group
DDI-DrugBank.d219.s10|0-8|Diuretics|group
DDI-DrugBank.d219.s10|11-18|Etodolac|drug
DDI-DrugBank.d219.s10|87-96|furosemide|drug
DDI-DrugBank.d219.s10|101-119|hydrochlorothiazide|drug
DDI-DrugBank.d219.s11|57-68|observations|group
DDI-DrugBank.d219.s11|86-91|Lodine|brand
DDI-DrugBank.d219.s11|108-118|natriuretic|group
DDI-DrugBank.d219.s11|130-139|furosemide|drug
DDI-DrugBank.d219.s11|145-153|thiazides|group
DDI-DrugBank.d219.s13|32-37|NSAIDs|group
DDI-DrugBank.d219.s13|128-135|diuretic|group
DDI-DrugBank.d219.s14|0-8|Glyburide|drug
DDI-DrugBank.d219.s14|11-18|Etodolac|drug
DDI-DrugBank.d219.s14|87-95|glyburide|drug
DDI-DrugBank.d219.s15|0-6|Lithium|brand
DDI-DrugBank.d219.s15|9-14|NSAIDs|group
DDI-DrugBank.d219.s15|53-59|lithium|brand
DDI-DrugBank.d219.s15|93-99|lithium|brand
DDI-DrugBank.d219.s16|17-23|lithium|brand
DDI-DrugBank.d219.s18|11-16|NSAIDs|group
DDI-DrugBank.d219.s18|22-28|lithium|brand
DDI-DrugBank.d219.s18|112-118|lithium|brand
DDI-DrugBank.d219.s19|0-13|Phenylbutazone|drug
DDI-DrugBank.d219.s19|16-29|Phenylbutazone|drug
DDI-DrugBank.d219.s19|86-93|etodolac|drug
DDI-DrugBank.d219.s20|54-61|etodolac|drug
DDI-DrugBank.d219.s20|107-120|phenylbutazone|drug
DDI-DrugBank.d219.s21|0-8|Phenytoin|drug
DDI-DrugBank.d219.s21|11-18|Etodolac|drug
DDI-DrugBank.d219.s21|87-95|phenytoin|drug
DDI-DrugBank.d219.s22|0-7|Warfarin|drug
DDI-DrugBank.d219.s22|25-32|warfarin|drug
DDI-DrugBank.d219.s22|38-43|NSAIDs|group
DDI-DrugBank.d219.s22|101-105|drugs|group
DDI-DrugBank.d219.s23|88-95|warfarin|drug
DDI-DrugBank.d219.s23|101-106|Lodine|brand
DDI-DrugBank.d219.s23|110-117|etodolac|drug
DDI-DrugBank.d219.s23|179-186|warfarin|drug
DDI-DrugBank.d219.s23|238-245|warfarin|drug
DDI-DrugBank.d219.s24|69-76|warfarin|drug
DDI-DrugBank.d219.s24|101-108|warfarin|drug
DDI-DrugBank.d219.s24|128-133|Lodine|brand
DDI-DrugBank.d219.s24|150-160|prothrombin|drug
DDI-DrugBank.d219.s25|31-38|warfarin|drug
DDI-DrugBank.d219.s25|44-49|Lodine|brand
DDI-DrugBank.d219.s26|100-110|prothrombin|drug
DDI-DrugBank.d219.s26|196-203|warfarin|drug
